;;;Interrupt;;;;Polling;
Bez;inc;Soll;Int LB 1;Int LB 2;Int LB 11-21;Int LB 12-22;Puls LB 1;Puls LB 2
Geschwindigkeit [km/h]:;220;188.5;195.77;192.86;198.04;195.91;191.29;194.89
Geschwindigkeit [km/h]:;221;188.5;195.18;199.38;193.4;196.33;191.29;188.78
Geschwindigkeit [km/h]:;222;188.5;195.18;192.86;192.99;191.37;198.62;195.92
Geschwindigkeit [km/h]:;223;188.5;195.18;192.86;196.75;195.06;197.56;196.96
Geschwindigkeit [km/h]:;224;188.5;195.18;192.86;196.75;195.06;198.47;195.92
Geschwindigkeit [km/h]:;225;188.5;188.92;193.43;192.18;195.48;198.47;194.89
Geschwindigkeit [km/h]:;226;188.5;201.87;192.86;198.04;191.77;192.14;188.78
Geschwindigkeit [km/h]:;227;188.5;195.18;193.43;191.37;190.17;198.62;194.89
Geschwindigkeit [km/h]:;228;188.5;202.5;193.43;200.22;193.82;197.56;196.07
Geschwindigkeit [km/h]:;229;188.5;195.77;192.86;195.91;193.82;197.56;194.89
Geschwindigkeit [km/h]:;230;188.5;195.18;192.86;195.91;194.23;197.56;195.03
Geschwindigkeit [km/h]:;231;188.5;195.77;193.43;191.77;190.17;205.39;195.03
Geschwindigkeit [km/h]:;232;188.5;195.77;192.86;197.61;195.48;191.15;196.96
Geschwindigkeit [km/h]:;233;188.5;195.18;192.86;197.18;195.48;197.41;195.92
Geschwindigkeit [km/h]:;234;188.5;195.18;186.21;197.61;190.97;198.47;195.92
Geschwindigkeit [km/h]:;235;188.5;195.18;192.86;192.99;191.37;198.47;194.89
Geschwindigkeit [km/h]:;236;188.5;195.77;192.86;197.18;195.06;193.29;202.66
Geschwindigkeit [km/h]:;237;188.5;195.77;192.86;195.48;193.4;197.41;196.07
Geschwindigkeit [km/h]:;238;188.5;195.77;199.38;195.48;198.04;197.56;195.03
Geschwindigkeit [km/h]:;239;188.5;195.18;192.86;195.06;193.4;191.29;188.78
Geschwindigkeit [km/h]:;240;188.5;201.87;193.43;198.91;192.99;205.39;195.03
Geschwindigkeit [km/h]:;241;188.5;202.5;199.38;194.65;192.58;204.26;196.07
Geschwindigkeit [km/h]:;242;188.5;195.18;192.86;193.82;192.18;191.29;195.92
Geschwindigkeit [km/h]:;243;188.5;195.77;199.38;194.65;197.18;197.56;195.92
Geschwindigkeit [km/h]:;244;188.5;209.03;193.43;202.45;191.77;199.54;195.92
Geschwindigkeit [km/h]:;245;188.5;195.77;192.86;197.18;195.06;199.69;201.56
Geschwindigkeit [km/h]:;246;188.5;196.36;199.38;192.58;194.65;198.47;196.21
Geschwindigkeit [km/h]:;247;188.5;201.87;192.86;196.33;190.17;204.09;188.78
Geschwindigkeit [km/h]:;248;188.5;201.87;193.43;196.75;190.97;191.29;194.89
Geschwindigkeit [km/h]:;249;188.5;195.18;192.86;196.75;195.06;198.77;201.56
Geschwindigkeit [km/h]:;250;188.5;195.77;192.86;194.65;192.58;191.29;196.07
Geschwindigkeit [km/h]:;251;188.5;195.77;192.86;195.06;192.99;197.56;201.56
Geschwindigkeit [km/h]:;252;188.5;195.18;192.86;190.17;188.59;197.56;195.77
Geschwindigkeit [km/h]:;253;188.5;189.47;186.74;195.06;192.99;198.77;195.77
Geschwindigkeit [km/h]:;254;188.5;195.18;193.43;193.82;192.58;198.47;197.11
Geschwindigkeit [km/h]:;255;188.5;195.18;199.38;193.82;196.75;198.47;201.56
Geschwindigkeit [km/h]:;256;188.5;195.77;193.43;193.4;191.77;198.47;195.03
Geschwindigkeit [km/h]:;257;188.5;195.18;186.74;197.61;191.37;197.56;194.89
Geschwindigkeit [km/h]:;258;188.5;195.18;192.86;194.23;192.58;192.28;196.07
Geschwindigkeit [km/h]:;259;188.5;195.77;192.86;194.23;192.18;191.29;196.07
Geschwindigkeit [km/h]:;260;188.5;195.77;192.86;198.91;196.75;197.56;195.03
Geschwindigkeit [km/h]:;261;188.5;195.77;192.86;195.06;192.99;197.56;195.03
Geschwindigkeit [km/h]:;262;188.5;195.18;193.43;195.06;193.82;198.62;194.89
Geschwindigkeit [km/h]:;263;188.5;188.92;193.43;191.77;195.06;198.77;197.11
Geschwindigkeit [km/h]:;264;188.5;195.18;193.43;193.4;192.18;198.47;189.75
Geschwindigkeit [km/h]:;265;188.5;189.47;193.43;194.23;197.18;198.47;195.03
Geschwindigkeit [km/h]:;266;188.5;195.77;193.43;195.06;193.4;193.14;194.89
Geschwindigkeit [km/h]:;267;188.5;195.18;192.86;195.48;193.82;205.55;201.56
Geschwindigkeit [km/h]:;268;188.5;195.77;193.43;194.65;192.99;204.26;196.07
Geschwindigkeit [km/h]:;269;188.5;195.77;193.43;195.91;194.23;197.56;194.89
Geschwindigkeit [km/h]:;270;188.5;195.18;192.86;192.18;190.57;197.56;201.56
Geschwindigkeit [km/h]:;271;188.5;189.47;192.86;192.58;195.06;198.62;195.03
Geschwindigkeit [km/h]:;272;188.5;195.18;192.86;190.97;189.38;197.56;197.11
Geschwindigkeit [km/h]:;273;188.5;195.77;199.38;192.58;195.06;191.29;189.61
Geschwindigkeit [km/h]:;274;188.5;195.18;193.43;192.18;190.97;205.23;195.92
Geschwindigkeit [km/h]:;275;188.5;202.5;187.28;198.47;187.81;198.47;195.03
Geschwindigkeit [km/h]:;276;188.5;195.18;192.86;194.65;192.99;199.69;196.07
Geschwindigkeit [km/h]:;277;188.5;195.77;186.74;196.33;189.77;197.56;196.07
Geschwindigkeit [km/h]:;278;188.5;195.18;192.86;196.75;195.06;191.29;195.03
Geschwindigkeit [km/h]:;279;188.5;195.18;192.86;198.47;196.75;198.47;189.89
Geschwindigkeit [km/h]:;280;188.5;195.18;193.43;195.06;193.82;197.56;201.56
